1500 x 400
MAGMA dgeqrf Time=688.364983 ms
CUBLAS dgeqrf Time=2406.204939 ms
MAGMA dgeqrf Time=688.131809 ms
CUBLAS dgeqrf Time=2407.907963 ms
MAGMA dgeqrf Time=688.230038 ms
CUBLAS dgeqrf Time=2407.591105 ms
MAGMA dgeqrf Time=687.602043 ms
CUBLAS dgeqrf Time=2407.754898 ms
MAGMA dgeqrf Time=687.732935 ms
CUBLAS dgeqrf Time=2409.696817 ms
1500 x 380
MAGMA dgeqrf Time=587.903976 ms
CUBLAS dgeqrf Time=2183.246136 ms
MAGMA dgeqrf Time=587.247849 ms
CUBLAS dgeqrf Time=2178.547144 ms
MAGMA dgeqrf Time=587.764978 ms
CUBLAS dgeqrf Time=2180.464029 ms
MAGMA dgeqrf Time=587.664127 ms
CUBLAS dgeqrf Time=2180.414915 ms
MAGMA dgeqrf Time=587.421179 ms
CUBLAS dgeqrf Time=2181.277037 ms
1500 x 360
MAGMA dgeqrf Time=543.647051 ms
CUBLAS dgeqrf Time=1961.477041 ms
MAGMA dgeqrf Time=543.728113 ms
CUBLAS dgeqrf Time=1960.170031 ms
MAGMA dgeqrf Time=543.786049 ms
CUBLAS dgeqrf Time=1962.840080 ms
MAGMA dgeqrf Time=543.668985 ms
CUBLAS dgeqrf Time=1962.463140 ms
MAGMA dgeqrf Time=543.881893 ms
CUBLAS dgeqrf Time=1962.336063 ms
1500 x 340
MAGMA dgeqrf Time=455.543995 ms
CUBLAS dgeqrf Time=1755.244017 ms
MAGMA dgeqrf Time=455.438137 ms
CUBLAS dgeqrf Time=1760.241985 ms
MAGMA dgeqrf Time=461.178064 ms
CUBLAS dgeqrf Time=1773.965120 ms
MAGMA dgeqrf Time=455.325127 ms
CUBLAS dgeqrf Time=1755.760908 ms
MAGMA dgeqrf Time=455.651045 ms
CUBLAS dgeqrf Time=1755.795956 ms
1500 x 320
MAGMA dgeqrf Time=375.908136 ms
CUBLAS dgeqrf Time=1558.950901 ms
MAGMA dgeqrf Time=375.981092 ms
CUBLAS dgeqrf Time=1557.847023 ms
MAGMA dgeqrf Time=376.251936 ms
CUBLAS dgeqrf Time=1563.848972 ms
MAGMA dgeqrf Time=375.591040 ms
CUBLAS dgeqrf Time=1559.810162 ms
MAGMA dgeqrf Time=375.867844 ms
CUBLAS dgeqrf Time=1560.092926 ms
1500 x 300
MAGMA dgeqrf Time=335.819006 ms
CUBLAS dgeqrf Time=1373.721838 ms
MAGMA dgeqrf Time=335.949898 ms
CUBLAS dgeqrf Time=1376.068115 ms
MAGMA dgeqrf Time=335.363150 ms
CUBLAS dgeqrf Time=1373.734951 ms
MAGMA dgeqrf Time=335.881948 ms
CUBLAS dgeqrf Time=1374.203920 ms
MAGMA dgeqrf Time=335.865974 ms
CUBLAS dgeqrf Time=1373.581886 ms
1500 x 280
MAGMA dgeqrf Time=272.182941 ms
CUBLAS dgeqrf Time=1198.300838 ms
MAGMA dgeqrf Time=271.777868 ms
CUBLAS dgeqrf Time=1197.945118 ms
MAGMA dgeqrf Time=272.133112 ms
CUBLAS dgeqrf Time=1198.184013 ms
MAGMA dgeqrf Time=272.215128 ms
CUBLAS dgeqrf Time=1197.649002 ms
MAGMA dgeqrf Time=272.113085 ms
CUBLAS dgeqrf Time=1198.563099 ms
1500 x 260
MAGMA dgeqrf Time=246.501923 ms
CUBLAS dgeqrf Time=1036.198854 ms
MAGMA dgeqrf Time=246.592999 ms
CUBLAS dgeqrf Time=1035.265923 ms
MAGMA dgeqrf Time=246.036053 ms
CUBLAS dgeqrf Time=1033.390999 ms
MAGMA dgeqrf Time=246.587038 ms
CUBLAS dgeqrf Time=1034.604073 ms
MAGMA dgeqrf Time=246.634007 ms
CUBLAS dgeqrf Time=1034.342051 ms
1500 x 240
MAGMA dgeqrf Time=193.339109 ms
CUBLAS dgeqrf Time=880.333900 ms
MAGMA dgeqrf Time=193.737030 ms
CUBLAS dgeqrf Time=880.200863 ms
MAGMA dgeqrf Time=193.751812 ms
CUBLAS dgeqrf Time=881.850004 ms
MAGMA dgeqrf Time=193.421841 ms
CUBLAS dgeqrf Time=880.373001 ms
MAGMA dgeqrf Time=193.503857 ms
CUBLAS dgeqrf Time=880.219936 ms
1500 x 220
MAGMA dgeqrf Time=150.253057 ms
CUBLAS dgeqrf Time=740.499973 ms
MAGMA dgeqrf Time=150.332928 ms
CUBLAS dgeqrf Time=741.241217 ms
MAGMA dgeqrf Time=150.081873 ms
CUBLAS dgeqrf Time=738.181114 ms
MAGMA dgeqrf Time=150.290012 ms
CUBLAS dgeqrf Time=738.038063 ms
MAGMA dgeqrf Time=150.250912 ms
CUBLAS dgeqrf Time=740.917921 ms
1500 x 200
MAGMA dgeqrf Time=132.184982 ms
CUBLAS dgeqrf Time=608.815908 ms
MAGMA dgeqrf Time=131.711006 ms
CUBLAS dgeqrf Time=608.565092 ms
MAGMA dgeqrf Time=132.192135 ms
CUBLAS dgeqrf Time=608.212948 ms
MAGMA dgeqrf Time=132.187128 ms
CUBLAS dgeqrf Time=608.983994 ms
MAGMA dgeqrf Time=132.087946 ms
CUBLAS dgeqrf Time=608.893871 ms
1500 x 180
MAGMA dgeqrf Time=99.665165 ms
CUBLAS dgeqrf Time=490.582943 ms
MAGMA dgeqrf Time=100.088120 ms
CUBLAS dgeqrf Time=490.684986 ms
MAGMA dgeqrf Time=100.059986 ms
CUBLAS dgeqrf Time=491.528988 ms
MAGMA dgeqrf Time=100.038052 ms
CUBLAS dgeqrf Time=491.724968 ms
MAGMA dgeqrf Time=99.838018 ms
CUBLAS dgeqrf Time=490.199804 ms
1500 x 160
MAGMA dgeqrf Time=73.828936 ms
CUBLAS dgeqrf Time=383.179903 ms
MAGMA dgeqrf Time=73.750019 ms
CUBLAS dgeqrf Time=382.699966 ms
MAGMA dgeqrf Time=73.818922 ms
CUBLAS dgeqrf Time=382.607937 ms
MAGMA dgeqrf Time=73.698997 ms
CUBLAS dgeqrf Time=382.688046 ms
MAGMA dgeqrf Time=74.136972 ms
CUBLAS dgeqrf Time=382.559061 ms
1500 x 140
MAGMA dgeqrf Time=59.040785 ms
CUBLAS dgeqrf Time=287.857056 ms
MAGMA dgeqrf Time=58.605909 ms
CUBLAS dgeqrf Time=287.981987 ms
MAGMA dgeqrf Time=58.809996 ms
CUBLAS dgeqrf Time=288.041830 ms
MAGMA dgeqrf Time=58.630943 ms
CUBLAS dgeqrf Time=287.991047 ms
MAGMA dgeqrf Time=58.669090 ms
CUBLAS dgeqrf Time=287.724018 ms
1500 x 120
MAGMA dgeqrf Time=41.037798 ms
CUBLAS dgeqrf Time=210.701942 ms
MAGMA dgeqrf Time=41.003942 ms
CUBLAS dgeqrf Time=210.042953 ms
MAGMA dgeqrf Time=40.840149 ms
CUBLAS dgeqrf Time=210.063934 ms
MAGMA dgeqrf Time=40.956020 ms
CUBLAS dgeqrf Time=209.966898 ms
MAGMA dgeqrf Time=41.199207 ms
CUBLAS dgeqrf Time=210.124969 ms
1500 x 100
MAGMA dgeqrf Time=34.286022 ms
CUBLAS dgeqrf Time=146.360874 ms
MAGMA dgeqrf Time=34.284115 ms
CUBLAS dgeqrf Time=146.319866 ms
MAGMA dgeqrf Time=34.032106 ms
CUBLAS dgeqrf Time=146.435976 ms
MAGMA dgeqrf Time=34.239054 ms
CUBLAS dgeqrf Time=146.689177 ms
MAGMA dgeqrf Time=33.962965 ms
CUBLAS dgeqrf Time=146.640062 ms
1500 x 80
MAGMA dgeqrf Time=23.162127 ms
CUBLAS dgeqrf Time=94.367981 ms
MAGMA dgeqrf Time=23.022890 ms
CUBLAS dgeqrf Time=94.566107 ms
MAGMA dgeqrf Time=22.798061 ms
CUBLAS dgeqrf Time=94.352961 ms
MAGMA dgeqrf Time=23.142815 ms
CUBLAS dgeqrf Time=95.562935 ms
MAGMA dgeqrf Time=23.042202 ms
CUBLAS dgeqrf Time=94.398022 ms
1500 x 60
MAGMA dgeqrf Time=15.423059 ms
CUBLAS dgeqrf Time=53.506136 ms
MAGMA dgeqrf Time=15.736103 ms
CUBLAS dgeqrf Time=53.493023 ms
MAGMA dgeqrf Time=15.755892 ms
CUBLAS dgeqrf Time=53.495169 ms
MAGMA dgeqrf Time=15.748024 ms
CUBLAS dgeqrf Time=53.575039 ms
MAGMA dgeqrf Time=15.799999 ms
CUBLAS dgeqrf Time=53.442955 ms
1500 x 40
MAGMA dgeqrf Time=11.710167 ms
CUBLAS dgeqrf Time=24.045944 ms
