500 x 50
MAGMA dgeqrf Time=10.740042 ms
CUBLAS dgeqrf Time=14.804125 ms
MAGMA dgeqrf Time=10.860920 ms
CUBLAS dgeqrf Time=14.976978 ms
MAGMA dgeqrf Time=10.772943 ms
CUBLAS dgeqrf Time=14.812946 ms
MAGMA dgeqrf Time=10.704994 ms
CUBLAS dgeqrf Time=14.799118 ms
MAGMA dgeqrf Time=10.883093 ms
CUBLAS dgeqrf Time=14.797926 ms
500 x 100
MAGMA dgeqrf Time=21.162033 ms
CUBLAS dgeqrf Time=54.878950 ms
MAGMA dgeqrf Time=21.322012 ms
CUBLAS dgeqrf Time=55.464029 ms
MAGMA dgeqrf Time=21.034002 ms
CUBLAS dgeqrf Time=54.867983 ms
MAGMA dgeqrf Time=21.146059 ms
CUBLAS dgeqrf Time=54.865122 ms
MAGMA dgeqrf Time=20.869017 ms
CUBLAS dgeqrf Time=54.890871 ms
500 x 150
MAGMA dgeqrf Time=36.580086 ms
CUBLAS dgeqrf Time=118.190050 ms
MAGMA dgeqrf Time=36.679983 ms
CUBLAS dgeqrf Time=118.334055 ms
MAGMA dgeqrf Time=36.690950 ms
CUBLAS dgeqrf Time=118.381023 ms
MAGMA dgeqrf Time=36.964178 ms
CUBLAS dgeqrf Time=119.771957 ms
MAGMA dgeqrf Time=36.696911 ms
CUBLAS dgeqrf Time=118.308783 ms
500 x 200
MAGMA dgeqrf Time=64.640045 ms
CUBLAS dgeqrf Time=205.694914 ms
MAGMA dgeqrf Time=64.265013 ms
CUBLAS dgeqrf Time=206.082106 ms
MAGMA dgeqrf Time=63.838959 ms
CUBLAS dgeqrf Time=203.294992 ms
MAGMA dgeqrf Time=64.692020 ms
CUBLAS dgeqrf Time=205.744028 ms
MAGMA dgeqrf Time=63.714981 ms
CUBLAS dgeqrf Time=203.269958 ms
500 x 250
MAGMA dgeqrf Time=94.272137 ms
CUBLAS dgeqrf Time=310.019970 ms
MAGMA dgeqrf Time=94.612122 ms
CUBLAS dgeqrf Time=310.916901 ms
MAGMA dgeqrf Time=93.504906 ms
CUBLAS dgeqrf Time=306.590080 ms
MAGMA dgeqrf Time=93.560934 ms
CUBLAS dgeqrf Time=306.663036 ms
MAGMA dgeqrf Time=93.707085 ms
CUBLAS dgeqrf Time=307.225943 ms
500 x 300
MAGMA dgeqrf Time=140.018940 ms
CUBLAS dgeqrf Time=427.384138 ms
MAGMA dgeqrf Time=139.997959 ms
CUBLAS dgeqrf Time=427.771091 ms
MAGMA dgeqrf Time=139.979124 ms
CUBLAS dgeqrf Time=426.886082 ms
MAGMA dgeqrf Time=139.947891 ms
CUBLAS dgeqrf Time=427.137136 ms
MAGMA dgeqrf Time=140.028000 ms
CUBLAS dgeqrf Time=427.006960 ms
500 x 350
MAGMA dgeqrf Time=183.148146 ms
CUBLAS dgeqrf Time=561.487913 ms
MAGMA dgeqrf Time=183.200836 ms
CUBLAS dgeqrf Time=561.490059 ms
MAGMA dgeqrf Time=183.123827 ms
CUBLAS dgeqrf Time=561.022043 ms
MAGMA dgeqrf Time=182.857037 ms
CUBLAS dgeqrf Time=560.953140 ms
MAGMA dgeqrf Time=183.150053 ms
CUBLAS dgeqrf Time=560.966015 ms
500 x 400
MAGMA dgeqrf Time=249.166965 ms
CUBLAS dgeqrf Time=713.091850 ms
MAGMA dgeqrf Time=248.817921 ms
CUBLAS dgeqrf Time=711.452961 ms
MAGMA dgeqrf Time=248.962164 ms
CUBLAS dgeqrf Time=711.647987 ms
MAGMA dgeqrf Time=248.945951 ms
CUBLAS dgeqrf Time=711.779118 ms
MAGMA dgeqrf Time=249.100924 ms
CUBLAS dgeqrf Time=711.772919 ms
1000 x 50
MAGMA dgeqrf Time=12.269974 ms
CUBLAS dgeqrf Time=25.873899 ms
MAGMA dgeqrf Time=12.624979 ms
CUBLAS dgeqrf Time=26.165962 ms
MAGMA dgeqrf Time=12.457848 ms
CUBLAS dgeqrf Time=25.863171 ms
MAGMA dgeqrf Time=12.433052 ms
CUBLAS dgeqrf Time=25.873184 ms
MAGMA dgeqrf Time=12.275934 ms
CUBLAS dgeqrf Time=25.861025 ms
1000 x 100
MAGMA dgeqrf Time=26.689053 ms
CUBLAS dgeqrf Time=100.198984 ms
MAGMA dgeqrf Time=26.704073 ms
CUBLAS dgeqrf Time=100.302935 ms
MAGMA dgeqrf Time=26.890993 ms
CUBLAS dgeqrf Time=100.505829 ms
MAGMA dgeqrf Time=26.855230 ms
CUBLAS dgeqrf Time=100.187063 ms
MAGMA dgeqrf Time=27.140856 ms
CUBLAS dgeqrf Time=101.392031 ms
1000 x 150
MAGMA dgeqrf Time=47.140121 ms
CUBLAS dgeqrf Time=221.654177 ms
MAGMA dgeqrf Time=47.356129 ms
CUBLAS dgeqrf Time=221.608877 ms
MAGMA dgeqrf Time=47.394037 ms
CUBLAS dgeqrf Time=221.884966 ms
MAGMA dgeqrf Time=47.390938 ms
CUBLAS dgeqrf Time=222.023010 ms
MAGMA dgeqrf Time=47.352076 ms
CUBLAS dgeqrf Time=221.537828 ms
1000 x 200
MAGMA dgeqrf Time=90.718985 ms
CUBLAS dgeqrf Time=389.667034 ms
MAGMA dgeqrf Time=92.183828 ms
CUBLAS dgeqrf Time=393.982172 ms
MAGMA dgeqrf Time=90.864897 ms
CUBLAS dgeqrf Time=389.961004 ms
MAGMA dgeqrf Time=90.758085 ms
CUBLAS dgeqrf Time=389.504910 ms
MAGMA dgeqrf Time=90.929031 ms
CUBLAS dgeqrf Time=389.688969 ms
1000 x 250
MAGMA dgeqrf Time=141.039848 ms
CUBLAS dgeqrf Time=618.756056 ms
MAGMA dgeqrf Time=140.743017 ms
CUBLAS dgeqrf Time=620.730877 ms
MAGMA dgeqrf Time=140.663862 ms
CUBLAS dgeqrf Time=618.747950 ms
MAGMA dgeqrf Time=140.964031 ms
CUBLAS dgeqrf Time=618.574142 ms
MAGMA dgeqrf Time=140.815020 ms
CUBLAS dgeqrf Time=619.372129 ms
1000 x 300
MAGMA dgeqrf Time=226.383924 ms
CUBLAS dgeqrf Time=896.451950 ms
MAGMA dgeqrf Time=226.351976 ms
CUBLAS dgeqrf Time=893.435955 ms
MAGMA dgeqrf Time=226.011038 ms
CUBLAS dgeqrf Time=893.090010 ms
MAGMA dgeqrf Time=226.252794 ms
CUBLAS dgeqrf Time=893.720150 ms
MAGMA dgeqrf Time=226.458073 ms
CUBLAS dgeqrf Time=895.944834 ms
1000 x 350
MAGMA dgeqrf Time=315.592051 ms
CUBLAS dgeqrf Time=1221.054792 ms
MAGMA dgeqrf Time=311.177015 ms
CUBLAS dgeqrf Time=1207.479954 ms
MAGMA dgeqrf Time=311.219931 ms
CUBLAS dgeqrf Time=1206.104040 ms
MAGMA dgeqrf Time=311.535120 ms
CUBLAS dgeqrf Time=1206.366062 ms
MAGMA dgeqrf Time=311.599016 ms
CUBLAS dgeqrf Time=1207.182169 ms
1000 x 400
MAGMA dgeqrf Time=454.601049 ms
CUBLAS dgeqrf Time=1563.673019 ms
MAGMA dgeqrf Time=460.817099 ms
CUBLAS dgeqrf Time=1579.592943 ms
MAGMA dgeqrf Time=455.132008 ms
CUBLAS dgeqrf Time=1562.523127 ms
MAGMA dgeqrf Time=460.554123 ms
CUBLAS dgeqrf Time=1579.188824 ms
MAGMA dgeqrf Time=454.658985 ms
